,epoch,loss,accuracy,average_loss,average_accuracy,best_particle_hidden_num,best_particle_hidden_dim,best_particle_lr
0,0.0,0.2043537199497223,0.831,0.724872233470281,0.6289333333333332,4.0,29.0,0.0099
1,1.0,0.31173327565193176,0.814,0.6990462174018224,0.6407333333333334,5.0,40.0,0.005186924779140456
2,2.0,0.20255304872989655,0.831,0.7928748975197474,0.5836,3.0,31.0,0.01182044985719543
3,3.0,0.3910486400127411,0.778,0.8558083375295004,0.5671999999999999,5.0,32.0,0.011427692047170004
4,4.0,0.3351014256477356,0.824,0.9898765842119853,0.4381333333333333,4.0,39.0,0.004081494260289496
5,5.0,0.2797486484050751,0.829,0.9691600382328034,0.4426666666666667,2.0,30.0,0.004225092887916688
6,6.0,0.3395746946334839,0.824,0.8622404734293619,0.5643999999999999,2.0,23.0,0.004637995772929833
7,7.0,0.3832034170627594,0.824,0.7849095871051153,0.5860000000000001,4.0,17.0,0.006402385082042137
8,8.0,0.21019524335861206,0.839,0.7426984901229541,0.5757333333333334,2.0,22.0,0.01100926372788392
9,9.0,0.25552868843078613,0.841,0.6730421841144562,0.6600666666666666,2.0,32.0,0.004673745351147826
10,10.0,0.35008296370506287,0.829,0.9333056410153707,0.4695333333333333,2.0,16.0,0.006274830907875308
11,11.0,0.5062093138694763,0.817,0.8810962478319804,0.49033333333333334,2.0,28.0,0.003854859739406495
12,12.0,0.2801498770713806,0.827,0.7995308339595795,0.5694,2.0,15.0,0.011844492524549563
13,13.0,0.3237323462963104,0.834,0.77194571296374,0.5919333333333334,4.0,31.0,0.013186583868718581
14,14.0,0.10127657651901245,0.832,0.745975810289383,0.5964666666666667,2.0,29.0,0.014716817323730414
15,15.0,0.317795068025589,0.821,0.7646234313646952,0.5860666666666667,3.0,44.0,0.003984790653685354
16,16.0,0.2116263210773468,0.839,0.765264829993248,0.5736,2.0,50.0,0.005367579988908429
17,17.0,0.2136732041835785,0.823,0.8832634111245473,0.5152666666666667,3.0,29.0,0.007170108567653143
18,18.0,0.24474455416202545,0.837,0.8682613939046859,0.5192,2.0,35.0,0.0064207801520395555
19,19.0,0.1820882260799408,0.836,0.7868610580762228,0.5817333333333334,2.0,23.0,0.008293275850919869
20,20.0,0.14854247868061066,0.844,0.8153970370690028,0.5691333333333333,2.0,30.0,0.010892191247847119
21,21.0,0.1902790367603302,0.841,0.804372654358546,0.5907333333333332,2.0,28.0,0.010136355524584967
22,22.0,0.10131943225860596,0.836,0.7489635070164998,0.5928666666666668,2.0,35.0,0.018730445787556574
23,23.0,0.10337983816862106,0.839,0.7251090223590533,0.6203333333333332,2.0,30.0,0.01458221268469741
24,24.0,0.19167540967464447,0.847,0.8171337376038234,0.5947333333333334,2.0,31.0,0.007634316910665729
25,25.0,0.25328248739242554,0.835,0.7940148711204529,0.572,2.0,26.0,0.007985556294338662
26,26.0,0.1937192678451538,0.839,0.8158148566881815,0.5446666666666667,2.0,39.0,0.005684169154052034
27,27.0,0.4557228088378906,0.814,0.8963868737220764,0.5176666666666666,3.0,44.0,0.001811185137081481
28,28.0,0.10167361795902252,0.842,0.8642941623926162,0.5370666666666666,2.0,39.0,0.012109814251751162
29,29.0,0.093899205327034,0.834,0.7442309071620306,0.5881333333333333,2.0,32.0,0.018649937173460588
